Make,Model,MakeCode,FamilyCode,YearGroup,MonthGroup,SequenceNum,Description,CurrentRelease,ImportFlag,LimitedEdition,Series,SeriesModelYear,BadgeDescription,BadgeSecondaryDescription,BodyStyleDescription,BodyConfigDescription,WheelBaseConfig,Roofline,ExtraIdentification,DriveDescription,DriveCode,GearTypeDescription,GearLocationDescription,GearNum,DoorNum,EngineSize,EngineDescription,Cylinders,FuelTypeDescription,InductionDescription,OptionCategory,CamDescription,EngineTypeDescription,FuelCapacity,FuelDeliveryDescription,MethodOfDeliveryDescription,GrossCombinationMAss,GrossVehicleMass,VIN,WheelBase,Height,Length,Width,KerbWeight,TareMass,PayLoad,Power,PowerRPMFrom,PowerRPMTo,Torque,TorqueRPMFrom,TorqueRPMTo,RonRating,SeatCapacity,ModelCode,BuildCountryOriginDescription,ValvesCylinder,EngineCycleDescription,EngineConfigurationDescription,EngineLocation,EngineNum,Acceleration,FrontTyreSize,RearTyreSize,FrontRimDesc,RearRimDesc,TowingBrakes,TowingNoBrakes,WarrantyCustAssist,FreeScheduledService,WarrantyYears,WarrantyKM,FirstServiceKM,FirstServiceMonths,RegServiceMonths,AltEngEngineType,AltEngBatteryType,AltEngCurrentType,AltEngAmpHours,AltEngVolts,AltEngChargingMethod,AltEngPower,AltEngPowerFrom,AltEngPowerTo,AltEngTorque,AltEngTorqueFrom,AltEngTorqueTo,AltEngDrive,NormalChargeMins,QuickChargeMins,NormalChargeVoltage,QuickChargeVoltage,KMRangeElectricEng,ElectricEngineLocation,TopSpeedElectricEng,GreenhouseRating,AirpollutionRating,OverallGreenStarRating,CO2Combined,CO2Urban,CO2ExtraUrban,FuelUrban,FuelExtraurban,FuelCombined,EmissionStandard,MaxEthanolBlend,AncapRating,VFactsClass,VFactsSegment,VFactsPrice,IsPPlateApproved,AverageKM,GoodKM,AvgWholesale,AvgRetail,GoodWholesale,GoodRetail,TradeMin,TradeMax,PrivateMax,NewPrice,Colour,Branch,SaleCategory,Sold_Date,Compliance_Date,Age_Comp_Months,KM,Sold_Amount,Aging,AgingMonths,Age_Comp_Months_Fixed,KM per Year,RelativePower,RelativeTorque
Toyota,Camry,TOYO,CAMRY,2016,5,7,ASV50R Altise Sedan 4dr Spts Auto 6sp 2.5i (May),F,L,F,ASV50R,,Altise,,Sedan,,,,May,Front Wheel Drive,FWD,Sports Automatic,Floor,6.0,4,2494,2.5,4,Petrol - Unleaded ULP,Aspirated,PASS,DOHC with VVT,Piston,70.0,Multi-Point Injection,Electronic Sequential,3300.0,2100.0,6T1BF3FK90#######,2775.0,1470.0,4850.0,1835.0,1465.0,1420.0,635.0,133.0,,6000.0,231.0,,4100.0,91.0,5,ASV50R-DETDKQ,AUSTRALIA,4.0,4 Stroke,In-line,Front,2AR-#######,,215/60 R16,215/60 R16,16x6.5,16x6.5,1200.0,500.0,,,3.0,100000.0,5000.0,3.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,183.0,257.0,140.0,11.1,6.0,7.9,Euro 5,E10,5.0,Passenger,Medium,< $60K,T,25.0,15.0,15850.0,19450.0,17750.0,21600.0,14000.0,16000.0,19700.0,26490.0,061 - Diamond White (T),Chullora (NSW),Dealer Only Auction,2017-11-15 00:00:00.000,08/2016,15.0,14761.0,17000.0,1,12,12.0,14761.0,0.09078498293515358,0.157679180887372
Subaru,Outback,SUBA,OUTBACK,2014,0,4,B5A MY14 2.0D Wagon 5dr Lineartronic 7sp AWD 2.0DT,F,L,F,B5A,MY14,2.0D,,Wagon,,,,,Four Wheel Drive,4WD,Constantly Variable Transmission,S/Wheel & Floor,7.0,5,1998,2.0,4,Diesel,Turbo Intercooled,SUV,Double Overhead Cam,Piston,65.0,Direct Injection,Electronic Sequential,,,JF2BRDKY5EG06####,2745.0,1665.0,4790.0,1820.0,1606.0,,,110.0,,3600.0,350.0,1800.0,2400.0,,5,BRDEKVY,JAPAN,4.0,4 Stroke,Horizontal,Front,,9.7,225/60 R17,225/60 R17,17x7.0,17x7.0,1700.0,750.0,1yr Roadside Assist,,3.0,-1.0,12500.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,7.0,6.0,3.5,172.0,205.0,153.0,7.8,5.8,6.5,Euro 5,,,SUV,Large,< $70K,T,75.0,45.0,22900.0,25600.0,25450.0,28300.0,20800.0,23400.0,26900.0,43490.0,G1U – Ice Silver (T),Sunshine (VIC),Fixed Price,2018-01-18 00:00:00.000,11/2014,38.0,125996.0,17730.5,4,48,38.0,39788.210526315794,0.0684931506849315,0.21793275217932753
Ford,Focus,FORD,FOCUS,2012,8,18,LW MKII Ambiente Hatchback 5dr PwrShift 6sp 1.6i,F,L,F,LW MKII,,Ambiente,,Hatchback,,,,,Front Wheel Drive,FWD,Sports Automatic Dual Clutch,Floor,6.0,5,1596,1.6,4,Petrol - Unleaded ULP,Aspirated,PASS,DOHC with VVT,Piston,55.0,Multi-Point Injection,Electronic Sequential,,1900.0,MPBKXXMXBKBE#####,2648.0,1484.0,4558.0,1823.0,1661.9049518435645,1335.0,,92.0,,6300.0,159.0,,4000.0,91.0,5,,THAILAND,4.0,4 Stroke,In-line,Front,????-#######,,205/55 R16,205/55 R16,16x6.0,16x6.0,,,,,3.0,100000.0,,,12.0,,,,,,,,,,,,,,,,,,,,,7.5,6.5,4.0,153.0,219.0,115.0,9.3,4.9,6.5,Euro 4,,5.0,Passenger,Small,< $40K,T,130.0,80.0,6450.0,9000.0,7950.0,10550.0,5700.0,7200.0,9600.0,22590.0,Black,Geebung (QLD),Pickles Online,2017-07-11 00:00:00.000,08/2012,59.0,51055.0,6000.0,5,60,59.0,10384.067796610168,0.055358159862237404,0.09567334150104073
Mitsubishi,Triton,MITS,TRITON,2008,6,54,ML MY09 GLX Utility Double Cab 4dr Man 5sp 1098kg 2.4i,F,L,F,ML,MY09,GLX,,Utility,Dual Cab,,,,Rear Wheel Drive,RWD,Manual,Floor,5.0,4,2351,2.4,4,Petrol - Unleaded ULP,Aspirated,CC,Overhead Cam,Piston,75.0,Multi-Point Injection,Electronic,4520.0,2720.0,MMAJNKB509?######,3000.0,1785.0,5030.0,1750.0,1652.0,1578.0,1098.0,94.0,,5250.0,194.0,,4000.0,91.0,5,ML1H47,THAILAND,4.0,4 Stroke,In-line,Front,4G64 ***####,,205/80 R16 RF,205/80 R16 RF,16x6.0,16x6.0,1800.0,750.0,5yr Roadside,,5.0,130000.0,1500.0,,12.0,,,,,,,,,,,,,,,,,,,,,5.0,8.5,3.5,258.0,331.0,217.0,13.9,9.1,10.9,,,4.0,Light Commercial,PU/CC 4X2,,T,230.0,140.0,6000.0,8550.0,7800.0,10350.0,5200.0,7000.0,9400.0,26990.0,White,Canberra (ACT),Pickles Online,2017-04-24 00:00:00.000,10/2008,102.0,235708.0,4700.0,9,108,102.0,27730.352941176472,0.05690072639225181,0.11743341404358354
Mercedes-Benz,Vito,MERC,VITO,2012,0,4,639 MY11 113CDI Van LWB 5dr Auto 5sp 1110kg 2.1DT,F,L,F,639,MY11,113CDI,,Van,,Long Wheelbase,,,Rear Wheel Drive,RWD,Automatic,Dash,5.0,5,2143,2.1,4,Diesel,Turbo Intercooled,VAN,Double Overhead Cam,Piston,75.0,Direct Injection,Electronic Sequential,5050.0,3050.0,WDF63960523######,3430.0,1900.0,5238.0,1901.0,1940.0,1840.0,1110.0,100.0,,3800.0,310.0,1400.0,2600.0,,2,,GERMANY,4.0,4 Stroke,In-line,Front,651940 30 ######,,205/65 R16,205/65 R16,16x6.5,16x6.5,2000.0,750.0,3yr Roadside,,3.0,200000.0,,,12.0,,,,,,,,,,,,,,,,,,,,,6.0,5.0,3.0,216.0,269.0,184.0,10.2,7.0,8.2,Euro 5,,,Light Commercial,Vans/CC,2.5t-3.5t,T,150.0,100.0,17250.0,22350.0,19400.0,24950.0,15100.0,17500.0,22200.0,45480.0,White,Sunshine (VIC),Auction,2017-10-24 00:00:00.000,11/2012,59.0,80274.0,23000.0,5,60,59.0,16326.915254237287,0.05154639175257732,0.15979381443298968
Lexus,IS250,LEXU,IS250,2010,0,1,GSE20R MY10 Prestige Sedan 4dr Spts Auto 6sp 2.5i,F,L,F,GSE20R,MY10,Prestige,,Sedan,,,,,Rear Wheel Drive,RWD,Sports Automatic,S/Wheel & Floor,6.0,4,2500,2.5,6,Petrol - Unleaded ULP,Aspirated,PASS,DOHC with VVT,Piston,65.0,Direct Injection,Electronic Sequential,3545.0,2045.0,JTHBK262602######,2730.0,1425.0,4575.0,1800.0,1560.0,1580.0,485.0,153.0,,6400.0,252.0,,4800.0,,5,GSE20R-AETLHW,JAPAN,4.0,4 Stroke,V60,Front,4GR #######,,225/45 R17,245/45 R17,17x8.0,17x8.0,1500.0,560.0,4 Year Roadside,,4.0,100000.0,15000.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,6.0,5.0,3.5,214.0,,,,,9.1,,,5.0,Passenger,Medium,> $60K,T,130.0,70.0,13450.0,16600.0,15400.0,18900.0,11700.0,13900.0,17200.0,55900.0,212 - Onyx (L),Sunshine (VIC),Auction,2016-10-25 00:00:00.000,07/2010,75.0,71545.0,19200.0,6,72,72.0,11924.166666666666,0.09807692307692308,0.16153846153846155
Ford,Territory,FORD,TERRITO,2015,0,3,SZ MkII TX Wagon 5dr Seq Sport Shift 6sp 2.7DT,F,L,F,SZ MkII,,TX,,Wagon,,,,,Rear Wheel Drive,RWD,Sports Automatic,Floor,6.0,5,2720,2.7,6,Diesel,Turbo Intercooled,SUV,Double Overhead Cam,Piston,75.0,Direct Injection,Electronic Sequential,,,6FPAAAJGAT5R#####,2843.0,1717.0,4888.0,1898.0,2012.0,1957.0,,140.0,,4000.0,440.0,,1900.0,,5,hTGB91A,AUSTRALIA,4.0,4 Stroke,V60,Front,#######27DT,,235/60 R17,235/60 R17,17x7.5,17x7.5,2300.0,750.0,1 year roadside,,3.0,100000.0,,,12.0,,,,,,,,,,,,,,,,,,,,,6.0,3.0,2.5,217.0,295.0,172.0,11.3,6.5,8.2,,,5.0,SUV,Large,< $70K,T,50.0,30.0,21550.0,25950.0,23950.0,28550.0,19400.0,21900.0,26300.0,40240.0,Winter White,Adelaide (SA),Auction,2016-07-06 00:00:00.000,05/2015,14.0,57868.0,25600.0,1,12,12.0,57868.0,0.06958250497017893,0.21868787276341947
Holden,Ute,HOLD,UTE,2015,9,19,VF II MY16 Ute Extended Cab 2dr. Spts Auto 6sp 3.6i,F,L,F,VF II,MY16,,,Utility,Extended Cab,,,,Rear Wheel Drive,RWD,Sports Automatic,Floor,6.0,2,3564,3.6,6,Petrol - Unleaded ULP,Aspirated,CC,DOHC with VVT,Piston,71.0,Direct Injection,Electronic Sequential,,2471.0,6G1FA4*#*GL######,3009.0,1494.0,5062.0,1898.0,1661.9049518435645,1611.0,,210.0,,6700.0,350.0,,2800.0,91.0,2,8EK80-178,AUSTRALIA,4.0,4 Stroke,V60,Front,LFX#########,,225/60 R16,225/60 R16,16x7.0,16x7.0,1600.0,750.0,1yr Roadside,,3.0,100000.0,15000.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,216.0,298.0,168.0,12.5,7.0,9.0,Euro 4,E10,5.0,Light Commercial,PU/CC 4X2,,T,60.0,40.0,17400.0,21200.0,19400.0,23500.0,15300.0,17500.0,21500.0,33490.0,Nitrate,Sunshine (VIC),Auction,2017-11-14 00:00:00.000,11/2015,24.0,52978.0,20300.0,2,24,24.0,26489.0,0.12636101707684624,0.21060169512807708
Hyundai,i45,HYUN,I45,2010,5,1,YF Active Sedan 4dr. Spts Auto 6sp 2.4i,F,L,F,YF,,Active,,Sedan,,,,,Front Wheel Drive,FWD,Sports Automatic,Floor,6.0,4,2359,2.4,4,Petrol - Unleaded ULP,Aspirated,PASS,DOHC with VVT,Piston,70.0,Direct Injection,Electronic Sequential,2830.0,2030.0,KMHEA41DLAA######,2795.0,1470.0,4820.0,1835.0,1528.0,1525.0,502.0,148.0,,6300.0,250.0,,4250.0,91.0,5,,SOUTH KOREA,4.0,4 Stroke,In-line,Front,G4KJ**######,,205/65 R16,205/65 R16,16x6.5,16x6.5,800.0,400.0,,,5.0,-1.0,1000.0,,12.0,,,,,,,,,,,,,,,,,,,,,6.5,8.5,4.5,188.0,266.0,142.0,11.2,6.0,7.9,Euro 5,,,Passenger,Medium,< $60K,T,180.0,110.0,7000.0,9550.0,8550.0,11250.0,6100.0,7700.0,10200.0,30990.0,Red,Belmore (NSW),Auction,2016-02-23 00:00:00.000,09/2010,65.0,83429.0,10000.0,6,72,65.0,15402.276923076923,0.0968586387434555,0.16361256544502617
Toyota,Corolla,TOYO,COROLLA,2012,0,3,ZRE152R Ascent Hatchback 5dr Auto 4sp 1.8i (Mar ),F,L,F,ZRE152R,,Ascent,,Hatchback,,,,Mar.,Front Wheel Drive,FWD,Automatic,Floor,4.0,5,1798,1.8,4,Petrol - Unleaded ULP,Aspirated,PASS,DOHC with VVT,Piston,55.0,Multi-Point Injection,Electronic Sequential,3105.0,1805.0,JTNKU52E#01######,2600.0,1515.0,4245.0,1760.0,1310.0,1295.0,495.0,100.0,,6000.0,175.0,,4400.0,91.0,5,ZRE152R-AHPDKQ,JAPAN,4.0,4 Stroke,In-line,Front,2ZR-#######,,195/65 R15,195/65 R15,15x6.0,15x6.0,1300.0,450.0,,,3.0,100000.0,5000.0,3.0,6.0,,,,,,,,,,,,,,,,,,,,,7.0,6.5,3.5,173.0,225.0,143.0,9.7,6.1,7.4,Euro 4,,5.0,Passenger,Small,< $40K,T,130.0,80.0,8350.0,10400.0,10050.0,12050.0,7400.0,9000.0,11200.0,22990.0,Grey,Belmore (NSW),Auction,2017-06-13 00:00:00.000,06/2012,60.0,102660.0,8000.0,5,60,60.0,20532.0,0.07633587786259542,0.13358778625954199
Toyota,Camry,TOYO,CAMRY,2007,0,0,ACV40R Altise Sedan 4dr Man 5sp 2.4i,F,L,F,ACV40R,,Altise,,Sedan,,,,,Front Wheel Drive,FWD,Manual,Floor,5.0,4,2362,2.4,4,Petrol - Unleaded ULP,Aspirated,PASS,DOHC with VVT,Piston,70.0,Multi-Point Injection,Electronic Sequential,,,6T153BK400X######,2775.0,1480.0,4815.0,1820.0,1460.0,1415.0,,117.0,,5700.0,218.0,,4000.0,91.0,5,ACV40R-DEMDKQ,AUSTRALIA,4.0,4 Stroke,In-line,Front,2AZ-A######,9.5,215/60 R16,215/60 R16,16x6.5,16x6.5,1200.0,500.0,,,3.0,100000.0,5000.0,3.0,12.0,,,,,,,,,,,,,,,,,,,,,6.0,8.5,4.0,212.0,,,,,8.9,,,4.0,Passenger,Medium,< $60K,T,250.0,150.0,2800.0,5350.0,4350.0,6950.0,2400.0,3900.0,6000.0,28000.0,3R3 - Wildfire (T),Belmore (NSW),Auction,2016-01-20 00:00:00.000,09/2007,100.0,124675.0,5600.0,9,108,100.0,14960.999999999998,0.08013698630136987,0.14931506849315068
Volkswagen,Tiguan,VOLK,TIGUAN,2009,10,9,5N MY10 103TDI Wagon 5dr Spts Auto 6sp 4MOTION 2.0DT,F,L,F,5N,MY10,103TDI,,Wagon,,,,,Four Wheel Drive,4WD,Sports Automatic,Floor,6.0,5,1968,2.0,4,Diesel,Turbo Intercooled,SUV,Double Overhead Cam,Piston,64.0,Direct Injection,Electronic Sequential,,,WVGZZZ5NZA**#####,2604.0,1683.0,4427.0,1809.0,1650.0,1650.0,,103.0,,4200.0,320.0,1750.0,2500.0,,5,,GERMANY,4.0,4 Stroke,In-line,Front,CBAB*#####,10.7,215/65 R16,215/65 R16,16x6.5,16x6.5,2000.0,750.0,,,3.0,100000.0,15000.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,6.0,5.0,3.0,209.0,,,,,7.9,,,5.0,SUV,Small,< $40K,T,200.0,120.0,9550.0,12450.0,11500.0,14550.0,8300.0,10400.0,13100.0,39190.0,Blue,Geebung (QLD),Pickles Online,2017-03-15 00:00:00.000,01/2010,86.0,150708.0,9050.0,8,96,86.0,21029.023255813954,0.062424242424242424,0.19393939393939394
Hyundai,i30,HYUN,I30,2011,0,7,FD MY11 SX Hatchback 5dr. Auto 4sp 1.6DT,F,L,F,FD,MY11,SX,,Hatchback,,,,,Front Wheel Drive,FWD,Automatic,Floor,4.0,5,1582,1.6,4,Diesel,Turbo Intercooled,PASS,DOHC with VVT,Piston,53.0,Direct Injection,Electronic Sequential,3060.0,1860.0,KMHDB51SRBU######,2650.0,1480.0,4245.0,1775.0,1408.0,1376.0,452.0,85.0,,4000.0,255.0,1900.0,2750.0,,5,,SOUTH KOREA,4.0,4 Stroke,In-line,Front,D4FB # ######,,195/65 R15,195/65 R15,15x5.5,15x5.5,1200.0,500.0,,,5.0,-1.0,1000.0,,12.0,,,,,,,,,,,,,,,,,,,,,7.5,5.0,3.5,159.0,,,7.9,4.9,6.0,,,5.0,Passenger,Small,< $40K,T,150.0,90.0,7800.0,10350.0,9200.0,12050.0,6700.0,8300.0,10900.0,25090.0,Ceramic White,Sunshine (VIC),Auction,2017-09-26 00:00:00.000,05/2011,76.0,203907.0,5600.0,6,72,72.0,33984.5,0.060369318181818184,0.18110795454545456
Holden,Commodore,HOLD,COMMODO,2013,0,15,VE II MY12.5 Omega Sportwagon 5dr. Spts Auto 6sp 3.0i,F,L,F,VE II,MY12.5,Omega,,Wagon,,,,,Rear Wheel Drive,RWD,Sports Automatic,Floor,6.0,5,2986,3.0,6,Petrol - Unleaded ULP,Aspirated,PASS,DOHC with VVT,Piston,71.0,Direct Injection,Electronic Sequential,,,6G1EK5?#*CL######,2915.0,1479.0,4905.0,1899.0,1699.0,1699.0,,190.0,,6700.0,290.0,,2400.0,91.0,5,8EK35-178,AUSTRALIA,4.0,4 Stroke,V60,Front,L?*###***1234*,,225/60 R16,225/60 R16,16x7.0,16x7.0,1600.0,750.0,1yr Roadside,,3.0,100000.0,15000.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,6.0,8.5,4.0,210.0,291.0,164.0,12.3,6.9,8.9,Euro 5,E85,5.0,Passenger,Large,< $70K,T,100.0,60.0,12100.0,15100.0,13800.0,17050.0,10600.0,12400.0,15400.0,41990.0,White,Sunshine (VIC),Auction,2017-05-30 00:00:00.000,02/2013,51.0,125288.0,10800.0,4,48,48.0,31322.0,0.11183048852266039,0.17068864037669218
Toyota,Camry,TOYO,CAMRY,2013,0,0,ASV50R Altise Sedan 4dr Spts Auto 6sp 2.5i,F,L,F,ASV50R,,Altise,,Sedan,,,,,Front Wheel Drive,FWD,Sports Automatic,Floor,6.0,4,2494,2.5,4,Petrol - Unleaded ULP,Aspirated,PASS,DOHC with VVT,Piston,70.0,Multi-Point Injection,Electronic Sequential,3300.0,2100.0,6T1BF3FK90#######,2775.0,1470.0,4815.0,1825.0,1465.0,1420.0,635.0,133.0,,6000.0,231.0,,4100.0,91.0,5,ASV50R-DETDKQ,AUSTRALIA,4.0,4 Stroke,In-line,Front,2AZR-#######,9.3,215/60 R16,215/60 R16,16x6.5,16x6.5,1200.0,500.0,,,3.0,100000.0,5000.0,3.0,9.0,,,,,,,,,,,,,,,,,,,,,6.5,6.5,3.5,183.0,255.0,142.0,10.9,6.0,7.8,Euro 4,E10,5.0,Passenger,Medium,< $60K,T,100.0,60.0,9700.0,12650.0,11450.0,14450.0,8500.0,10300.0,13000.0,30490.0,1G3 - Graphite (T),Belmore (NSW),Dealer Only Auction,2016-01-20 00:00:00.000,07/2013,30.0,87810.0,11667.0,3,36,30.0,35124.0,0.09078498293515358,0.157679180887372
Toyota,Corolla,TOYO,COROLLA,2014,0,1,ZRE182R Ascent Hatchback 5dr S-CVT 7sp 1.8i,F,L,F,ZRE182R,,Ascent,,Hatchback,,,,,Front Wheel Drive,FWD,Constantly Variable Transmission,Floor,7.0,5,1798,1.8,4,Petrol - Unleaded ULP,Aspirated,PASS,DOHC with VVT,Piston,50.0,Multi-Point Injection,Electronic Sequential,,,JTNKU3JE501######,2600.0,1460.0,4275.0,1760.0,1275.0,1245.0,,103.0,,6400.0,173.0,,4000.0,91.0,5,ZRE182R-AHXDKQ,JAPAN,4.0,4 Stroke,In-line,Front,2ZR-#######,,205/55 R16,205/55 R16,16x6.5,16x6.5,1300.0,450.0,,,3.0,100000.0,5000.0,3.0,6.0,,,,,,,,,,,,,,,,,,,,,7.5,8.5,5.0,152.0,197.0,127.0,8.5,5.4,6.6,Euro 4,E10,5.0,Passenger,Small,< $40K,T,75.0,45.0,11300.0,13300.0,13050.0,15100.0,9900.0,11700.0,14100.0,22240.0,040 - Glacier White (T),Sunshine (VIC),Dealer Only Auction,2016-07-06 00:00:00.000,07/2014,24.0,71189.0,11300.0,2,24,24.0,35594.5,0.08078431372549019,0.13568627450980392
Holden,Cruze,HOLD,CRUZE,2013,0,2,JH Series II MY13 CD Sedan 4dr. Spts Auto 6sp 1.4T,F,L,F,JH Series II,MY13,CD,,Sedan,,,,,Front Wheel Drive,FWD,Sports Automatic,Floor,6.0,4,1364,1.4,4,Petrol - Unleaded ULP,Turbo Intercooled,PASS,DOHC with VVT,Piston,60.0,Multi-Point Injection,Electronic Sequential,,1844.0,6G1P?#E**DL######,2685.0,1477.0,4615.0,1797.0,1436.0,,,103.0,,4900.0,200.0,,1850.0,91.0,5,8PD69134,AUSTRALIA,4.0,4 Stroke,In-line,Front,19 UN#### A 14NET,,205/60 R16,205/60 R16,16x6.5,16x6.5,1200.0,695.0,1yr Roadside,,3.0,100000.0,15000.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,4.5,164.0,225.0,128.0,9.5,5.4,6.9,Euro 5,,5.0,Passenger,Small,< $40K,T,100.0,60.0,7550.0,10050.0,8850.0,11650.0,6600.0,8000.0,10500.0,25040.0,Chlorophyll,Adelaide (SA),Auction,2017-06-28 00:00:00.000,01/2013,53.0,35509.0,8500.0,4,48,48.0,8877.25,0.07172701949860724,0.1392757660167131
Toyota,Corolla,TOYO,COROLLA,2016,0,1,ZRE182R Ascent Hatchback 5dr S-CVT 7sp 1.8i,F,L,F,ZRE182R,,Ascent,,Hatchback,,,,,Front Wheel Drive,FWD,Constantly Variable Transmission,Floor,7.0,5,1798,1.8,4,Petrol - Unleaded ULP,Aspirated,PASS,DOHC with VVT,Piston,50.0,Multi-Point Injection,Electronic Sequential,,,JTNKU3JE#0J######,2600.0,1475.0,4330.0,1760.0,1275.0,1245.0,,103.0,,6400.0,173.0,,4000.0,91.0,5,ZRE182R-AHXDKQ,JAPAN,4.0,4 Stroke,In-line,Front,2ZR-#######,,205/55 R16,205/55 R16,16x6.5,16x6.5,1300.0,450.0,,,3.0,100000.0,5000.0,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,143.0,185.0,118.0,8.0,5.0,6.1,Euro 5,E10,5.0,Passenger,Small,< $40K,T,25.0,15.0,14100.0,16300.0,15900.0,18250.0,12400.0,14300.0,17100.0,22230.0,040 - Glacier White (T),Sunshine (VIC),Dealer Only Auction,2017-11-08 00:00:00.000,07/2016,16.0,26968.0,15600.0,1,12,12.0,26968.0,0.08078431372549019,0.13568627450980392
Toyota,Camry,TOYO,CAMRY,2014,0,9,AVV50R Hybrid H Sedan 4dr CVT 1sp 2.5i/105kW Hybrid,F,L,F,AVV50R,,Hybrid,H,Sedan,,,,,Front Wheel Drive,FWD,Constantly Variable Transmission,Floor,1.0,4,2494,2.5,4,Petrol - Unleaded ULP,Aspirated,PASS,DOHC with VVT,Piston - Electric,65.0,Multi-Point Injection,Electronic Sequential,3300.0,2100.0,6T1BD3FK10#######,2775.0,1470.0,4815.0,1825.0,1610.0,1570.0,490.0,118.0,,5700.0,213.0,,4500.0,91.0,5,AVV50R-DEXDBQ,AUSTRALIA,4.0,4 Stroke,In-line,Front,2AR-######,8.0,215/60 R16,215/60 R16,16x6.5,16x6.5,300.0,300.0,,,3.0,100000.0,5000.0,3.0,9.0,Permanent Magnet,Nickel Metal Hydride,AC,,650.0,Engine,105.0,,,270.0,,,Wheels Front,,,,,,,,8.0,8.5,5.0,121.0,132.0,114.0,5.7,4.9,5.2,Euro 5,,5.0,Passenger,Medium,< $60K,T,75.0,45.0,13250.0,16400.0,15000.0,18450.0,11600.0,13500.0,16700.0,34990.0,218 - Eclipse Black (T),Sunshine (VIC),Auction,2017-10-31 00:00:00.000,04/2014,42.0,109472.0,15700.0,3,36,36.0,36490.666666666664,0.07329192546583851,0.13229813664596274
Toyota,Kluger,TOYO,KLUGER,2012,1,0,GSU40R MY12 KX-R Wagon 5dr Spts Auto 5sp 2WD 3.5i,F,L,F,GSU40R,MY12,KX-R,,Wagon,,,,,Front Wheel Drive,FWD,Sports Automatic,Floor,5.0,5,3456,3.5,6,Petrol - Unleaded ULP,Aspirated,SUV,DOHC with VVT,Piston,72.0,Multi-Point Injection,Electronic Sequential,4630.0,2630.0,JTEDS41A102######,2790.0,1730.0,4785.0,1910.0,1830.0,1805.0,800.0,201.0,,6200.0,337.0,,4700.0,91.0,5,GSU40R-BRANKQ,JAPAN,4.0,4 Stroke,V60,Front,2GR-#######,8.0,245/65 R17,245/65 R17,17x7.5,17x7.5,2000.0,700.0,,,3.0,100000.0,5000.0,3.0,6.0,,,,,,,,,,,,,,,,,,,,,5.0,5.5,3.0,259.0,350.0,206.0,15.0,8.7,11.0,,,5.0,SUV,Large,< $70K,T,130.0,80.0,15150.0,18600.0,17100.0,20850.0,13300.0,15400.0,19000.0,39990.0,1F7 - Silver Pearl (T),Rockhampton (QLD),Auction,2016-07-13 00:00:00.000,07/2012,48.0,87274.0,15500.0,4,48,48.0,21818.5,0.10983606557377049,0.18415300546448088
Isuzu,D-MAX,ISUZ,D-MAX,2010,0,5,MY09 SX Cab Chassis Single Cab 2dr Man 5sp 4x4 1225kg 3.0DT,F,L,F,,MY09,SX,,Cab Chassis,Single Cab,,,,4X4 Dual Range,4XD,Manual,Floor,5.0,2,2999,3.0,4,Diesel,Turbo Intercooled,CC,Double Overhead Cam,Piston,76.0,Direct Injection,Electronic Sequential,5900.0,2900.0,MP1TFS85J9T######,3200.0,1725.0,5025.0,1800.0,1675.0,,1225.0,120.0,,3600.0,360.0,1800.0,2800.0,,2,TFS85JSYRMSO,THAILAND,4.0,4 Stroke,In-line,Front,4JJ1 **####,,245/70 R16 LT,245/70 R16 LT,16x7.0,16x7.0,3000.0,750.0,3yr/100000km Roadsid,,3.0,100000.0,3000.0,3.0,6.0,,,,,,,,,,,,,,,,,,,,,6.0,3.0,2.5,222.0,,,10.5,7.2,8.4,Euro 4,,3.0,Light Commercial,PU/CC 4x4,,T,210.0,140.0,11750.0,14800.0,13750.0,16950.0,10300.0,12400.0,15400.0,33600.0,White,Newcastle (NSW),Auction,2016-01-06 00:00:00.000,08/2010,65.0,228829.0,7800.0,6,72,65.0,42245.35384615384,0.07164179104477612,0.21492537313432836
